Arial_Calibri_Cambria_Cambria_Math_Comic_Sans_MS_Consolas_Courier_Courier_New_Georgia_Helvetica_Impact_Lucida_Console_Lucida_Sans_Unicode_Microsoft_Sans_Serif_MS_Gothic_MS_PGothic_MS_Sans_Serif_MS_Serif_Palatino_Linotype_Segoe_Print_Segoe_Script_Segoe_UI_Segoe_UI_Symbol_Tahoma_Times_Times_New_Roman_Trebuchet_MS_Verdana_Wingdings_Wingdings_2_Wingdings_3_Aharoni_Andalus_Angsana_New_AngsanaUPC_Aparajita_Arabic_Typesetting_Batang_BatangChe_Bauhaus_93_Bodoni_72_Bodoni_72_Oldstyle_Bodoni_72_Smallcaps_Bookshelf_Symbol_7_Browallia_New_BrowalliaUPC_Candara_Constantia_Corbel_Cordia_New_CordiaUPC_DaunPenh_David_DFKai-SB_DilleniaUPC_DokChampa_Dotum_DotumChe_Ebrima_English_111_Vivace_BT_EucrosiaUPC_Euphemia_FangSong_FrankRuehl_FreesiaUPC_Gabriola_Gautami_GeoSlab_703_Lt_BT_GeoSlab_703_XBd_BT_Gisha_Gulim_GulimChe_Gungsuh_GungsuhChe_Humanst_521_Cn_BT_IrisUPC_Iskoola_Pota_JasmineUPC_KaiTi_Kalinga_Kartika_Khmer_UI_KodchiangUPC_Kokila_Lao_UI_Latha_Leelawadee_Levenim_MT_LilyUPC_Malgun_Gothic_Mangal_Marlett_Meiryo_Meiryo_UI_Microsoft_Himalaya_Microsoft_JhengHei_Microsoft_New_Tai_Lue_Microsoft_PhagsPa_Microsoft_Tai_Le_Microsoft_Uighur_Microsoft_YaHei_Microsoft_Yi_Baiti_MingLiU_MingLiU_HKSCS_MingLiU_HKSCS-ExtB_MingLiU-ExtB_Miriam_Miriam_Fixed_Modern_No._20_Mongolian_Baiti_MoolBoran_MS_Mincho_MS_PMincho_MS_UI_Gothic_MV_Boli_Narkisim_NSimSun_Nyala_Plantagenet_Cherokee_PMingLiU_PMingLiU-ExtB_Raavi_Rod_Roman_Sakkal_Majalla_Shonar_Bangla_Shruti_SimHei_Simplified_Arabic_Simplified_Arabic_Fixed_SimSun_SimSun-ExtB_Small_Fonts_Sylfaen_Traditional_Arabic_Tunga_Univers_CE_55_Medium_Utsaah_Vani_Vijaya_Vrinda Wingdings_2_Wingdings_3_Bauhaus_93_Bodoni_72_Bodoni_72_Oldstyle_Bodoni_72_Smallcaps_Bookshelf_Symbol_7_English_111_Vivace_BT_GeoSlab_703_Lt_BT_GeoSlab_703_XBd_BT_Humanst_521_Cn_BT_Modern_No._20_Univers_CE_55_Medium Arial_Arial_Black_Calibri_Cambria_Cambria_Math_Comic_Sans_MS_Consolas_Courier_Courier_New_Georgia_Helvetica_Impact_Lucida_Console_Lucida_Sans_Unicode_Microsoft_Sans_Serif_MS_Gothic_MS_PGothic_MS_Sans_Serif_MS_Serif_Palatino_Linotype_Segoe_Print_Segoe_Script_Segoe_UI_Segoe_UI_Light_Segoe_UI_Semibold_Segoe_UI_Symbol_Tahoma_Times_Times_New_Roman_Trebuchet_MS_Verdana_Wingdings_Wingdings_2_Wingdings_3_Bauhaus_93_Bodoni_72_Bodoni_72_Oldstyle_Bodoni_72_Smallcaps_Bookshelf_Symbol_7_Candara_Constantia_Corbel_Ebrima_English_111_Vivace_BT_Gabriola_GeoSlab_703_Lt_BT_GeoSlab_703_XBd_BT_Humanst_521_Cn_BT_Malgun_Gothic_Marlett_Microsoft_Himalaya_Microsoft_JhengHei_Microsoft_New_Tai_Lue_Microsoft_PhagsPa_Microsoft_Tai_Le_Microsoft_YaHei_Microsoft_Yi_Baiti_MingLiU_HKSCS-ExtB_MingLiU-ExtB_Modern_No._20_Mongolian_Baiti_MS_UI_Gothic_MV_Boli_NSimSun_PMingLiU-ExtB_Roman_SimSun_SimSun-ExtB_Small_Fonts_Sylfaen_Univers_CE_55_Medium Arial_Arial_Black_Arial_Narrow_Arial_Rounded_MT_Bold_Arial_Unicode_MS_Book_Antiqua_Bookman_Old_Style_Calibri_Cambria_Cambria_Math_Century_Century_Gothic_Century_Schoolbook_Comic_Sans_MS_Consolas_Courier_Courier_New_Garamond_Georgia_Helvetica_Impact_Lucida_Bright_Lucida_Calligraphy_Lucida_Console_Lucida_Fax_Lucida_Handwriting_Lucida_Sans_Lucida_Sans_Typewriter_Lucida_Sans_Unicode_Microsoft_Sans_Serif_Monotype_Corsiva_MS_Gothic_MS_Outlook_MS_PGothic_MS_Reference_Sans_Serif_MS_Sans_Serif_MS_Serif_Palatino_Linotype_Segoe_Print_Segoe_Script_Segoe_UI_Segoe_UI_Light_Segoe_UI_Semibold_Segoe_UI_Symbol_Tahoma_Times_Times_New_Roman_Trebuchet_MS_Verdana_Wingdings_Wingdings_2_Wingdings_3_Agency_FB_Aharoni_Algerian_Andalus_Angsana_New_AngsanaUPC_Aparajita_Arabic_Typesetting_Baskerville_Old_Face_Batang_BatangChe_Bauhaus_93_Bell_MT_Berlin_Sans_FB_Berlin_Sans_FB_Demi_Bernard_MT_Condensed_Blackadder_ITC_Bodoni_72_Bodoni_72_Oldstyle_Bodoni_72_Smallcaps_Bodoni_MT_Bodoni_MT_Black_Bodoni_MT_Condensed_Bodoni_MT_Poster_Compressed_Bookshelf_Symbol_7_Bradley_Hand_ITC_Britannic_Bold_Broadway_Browallia_New_BrowalliaUPC_Brush_Script_MT_Californian_FB_Calisto_MT_Candara_Castellar_Centaur_Chiller_Colonna_MT_Constantia_Cooper_Black_Copperplate_Gothic_Copperplate_Gothic_Bold_Copperplate_Gothic_Light_Corbel_Cordia_New_CordiaUPC_Curlz_MT_DaunPenh_David_DFKai-SB_DilleniaUPC_DokChampa_Dotum_DotumChe_Ebrima_Edwardian_Script_ITC_Elephant_English_111_Vivace_BT_Engravers_MT_EucrosiaUPC_Euphemia_FangSong_Felix_Titling_Footlight_MT_Light_Forte_FrankRuehl_FreesiaUPC_Freestyle_Script_French_Script_MT_Gabriola_Gautami_GeoSlab_703_Lt_BT_GeoSlab_703_XBd_BT_Gigi_Gill_Sans_MT_Gill_Sans_MT_Condensed_Gill_Sans_MT_Ext_Condensed_Bold_Gill_Sans_Ultra_Bold_Gill_Sans_Ultra_Bold_Condensed_Gisha_Goudy_Old_Style_Goudy_Stout_Gulim_GulimChe_Gungsuh_GungsuhChe_Haettenschweiler_Harlow_Solid_Italic_Harrington_High_Tower_Text_Humanst_521_Cn_BT_Imprint_MT_Shadow_Informal_Roman_IrisUPC_Iskoola_Pota_JasmineUPC_Jokerman_Juice_ITC_KaiTi_Kalinga_Kartika_Khmer_UI_KodchiangUPC_Kokila_Kristen_ITC_Kunstler_Script_Lao_UI_Latha_Leelawadee_Levenim_MT_LilyUPC_Magneto_Maiandra_GD_Malgun_Gothic_Mangal_Marlett_Matura_MT_Script_Capitals_Meiryo_Meiryo_UI_Microsoft_Himalaya_Microsoft_JhengHei_Microsoft_New_Tai_Lue_Microsoft_PhagsPa_Microsoft_Tai_Le_Microsoft_Uighur_Microsoft_YaHei_Microsoft_Yi_Baiti_MingLiU_MingLiU_HKSCS_MingLiU_HKSCS-ExtB_MingLiU-ExtB_Miriam_Miriam_Fixed_Mistral_Modern_No._20_Mongolian_Baiti_MoolBoran_MS_Mincho_MS_PMincho_MS_Reference_Specialty_MS_UI_Gothic_MT_Extra_MV_Boli_Narkisim_Niagara_Engraved_Niagara_Solid_NSimSun_Nyala_OCR_A_Extended_Old_English_Text_MT_Onyx_Palace_Script_MT_Papyrus_Parchment_Perpetua_Perpetua_Titling_MT_Plantagenet_Cherokee_Playbill_PMingLiU_PMingLiU-ExtB_Poor_Richard_Pristina_Raavi_Rage_Italic_Ravie_Rockwell_Rockwell_Condensed_Rockwell_Extra_Bold_Rod_Roman_Sakkal_Majalla_Script_Script_MT_Bold_Shonar_Bangla_Showcard_Gothic_Shruti_SimHei_Simplified_Arabic_Simplified_Arabic_Fixed_SimSun_SimSun-ExtB_Small_Fonts_Snap_ITC_Stencil_Sylfaen_Tempus_Sans_ITC_Traditional_Arabic_Tunga_Tw_Cen_MT_Tw_Cen_MT_Condensed_Tw_Cen_MT_Condensed_Extra_Bold_Univers_CE_55_Medium_Utsaah_Vani_Vijaya_Viner_Hand_ITC_Vivaldi_Vladimir_Script_Vrinda_Wide_Latin others
2017-11-21 0.699 2.797 0.699 2.797 93.007 
2017-11-22 2.609 2.031 2.804 2.887 89.669 
2017-11-23 3.051 1.741 2.391 2.548 90.269 
2017-11-24 3.050 2.027 2.543 2.910 89.470 
2017-11-25 1.148 2.803 2.858 2.329 90.862 
2017-11-26 0.973 2.894 2.902 2.372 90.859 
2017-11-27 2.453 1.863 2.535 2.798 90.351 
2017-11-28 3.309 2.135 2.156 2.807 89.592 
2017-11-29 5.057 1.813 2.312 2.798 88.020 
2017-11-30 2.876 1.962 2.465 2.722 89.974 
2017-12-1 3.062 2.386 2.804 2.769 88.979 
2017-12-2 1.645 2.866 3.028 2.616 89.846 
2017-12-3 3.773 2.762 2.694 2.363 88.409 
2017-12-4 3.115 2.469 2.527 3.202 88.689 
2017-12-5 2.104 2.527 2.714 3.129 89.526 
2017-12-6 2.458 2.671 2.319 2.671 89.881 
2017-12-7 3.149 2.774 2.099 2.574 89.404 
2017-12-8 1.970 2.707 3.126 2.380 89.816 
2017-12-9 1.876 2.977 2.837 2.287 90.023 
2017-12-10 2.580 3.185 2.814 2.394 89.027 
2017-12-11 2.185 2.813 2.650 3.022 89.331 
2017-12-12 3.193 3.193 1.976 2.504 89.134 
2017-12-13 2.539 2.890 2.258 2.649 89.664 
2017-12-14 3.179 3.891 1.639 2.103 89.187 
2017-12-15 3.461 2.451 3.749 2.848 87.491 
2017-12-16 0.159 3.864 2.641 1.997 91.338 
2017-12-17 0.116 5.509 1.952 1.638 90.786 
2017-12-18 0.106 3.158 2.522 2.967 91.247 
2017-12-19 0.156 3.299 2.105 2.831 91.609 
2017-12-20 0.183 2.574 2.518 2.996 91.730 
2017-12-21 0.139 2.529 2.242 2.363 92.727 
2017-12-22 0.271 2.516 3.083 2.746 91.383 
2017-12-23 0.143 2.427 3.236 2.458 91.737 
2017-12-24 7.100 2.237 3.013 2.655 84.994 
2017-12-25 5.010 2.238 2.686 2.579 87.487 
2017-12-26 6.070 3.203 2.405 2.164 86.158 
2017-12-27 7.062 3.277 1.847 2.120 85.694 
2017-12-28 7.044 1.892 2.867 2.613 85.584 
2017-12-29 7.669 2.402 2.365 2.430 85.134 
2017-12-30 11.087 2.721 2.364 2.068 81.760 
2017-12-31 16.184 2.832 2.025 1.597 77.363 
2018-1-1 26.543 1.235 1.235 2.469 68.519 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 18.279 2.543 2.414 2.359 74.406 
2018-1-7 17.124 2.143 1.907 2.143 76.684 
2018-1-8 16.428 1.265 1.944 3.025 77.338 
2018-1-9 8.865 2.161 2.593 2.680 83.701 
2018-1-10 9.399 2.706 2.293 2.032 83.571 
2018-1-11 5.534 2.481 2.638 2.121 87.225 
2018-1-12 7.461 2.517 2.562 2.051 85.408 
2018-1-13 4.983 2.914 2.677 1.748 87.678 
2018-1-14 4.786 2.758 2.660 1.614 88.181 
2018-1-15 5.559 2.931 1.920 1.992 87.597 
2018-1-16 6.232 2.297 2.517 1.922 87.032 
2018-1-17 8.384 2.078 2.390 1.949 85.199 
2018-1-18 6.967 2.260 2.387 1.918 86.468 
2018-1-19 6.249 2.215 2.494 2.035 87.006 
2018-1-20 7.774 2.834 2.488 1.510 85.394 
2018-1-21 7.009 2.840 2.578 1.474 86.099 
2018-1-22 7.367 2.602 2.050 1.678 86.302 
2018-1-23 6.524 2.185 2.216 1.680 87.396 
2018-1-24 9.437 1.751 1.509 1.992 85.312 
2018-1-25 0.130 2.680 2.666 1.970 92.554 
2018-1-26 0.108 2.144 3.039 2.123 92.586 
2018-1-27 0.097 2.321 3.513 1.741 92.329 
2018-1-28 0.214 2.814 3.615 2.155 91.202 
2018-1-29 0.063 1.985 2.423 2.549 92.981 
2018-1-30 0.115 2.286 2.592 2.120 92.887 
2018-1-31 0.070 2.616 2.545 1.955 92.814 
2018-2-1 0.079 2.538 2.221 1.983 93.179 
2018-2-2 0.038 3.180 2.247 1.543 92.992 
2018-2-3 0.083 2.516 3.078 1.705 92.618 
2018-2-4 0.076 2.698 3.001 1.667 92.558 
2018-2-5 0.067 2.425 1.935 1.624 93.949 
2018-2-6 0.159 2.802 2.118 1.640 93.280 
2018-2-7 0.072 3.037 2.176 1.793 92.922 
2018-2-8 0.024 2.591 2.279 1.847 93.260 
2018-2-9 0.095 2.429 2.657 1.803 93.017 
2018-2-10 0.117 3.477 2.797 1.418 92.191 
2018-2-11 0.113 2.446 2.673 1.835 92.933 
2018-2-12 0.055 2.454 2.099 1.799 93.593 
2018-2-13 0.115 1.814 2.410 1.745 93.916 
2018-2-14 0.108 2.971 1.728 1.755 93.438 
2018-2-15 0.078 2.618 1.996 1.944 93.364 
2018-2-16 0.236 2.939 1.889 1.732 93.204 
2018-2-17 0.100 3.758 2.412 1.668 92.062 
2018-2-18 0.209 4.048 2.220 1.201 92.322 
2018-2-19 0.088 2.625 1.779 1.954 93.553 
2018-2-20 0.090 2.245 1.617 1.931 94.118 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
