Arial_Arial_Hebrew_Arial_Rounded_MT_Bold_Courier_Courier_New_Georgia_Helvetica_Helvetica_Neue_Palatino_Times_Times_New_Roman_Trebuchet_MS_Verdana_Wingdings_2_Wingdings_3_Academy_Engraved_LET_American_Typewriter_Apple_Color_Emoji_Apple_SD_Gothic_Neo_AVENIR_Bangla_Sangam_MN_Baskerville_Bauhaus_93_Bodoni_72_Bodoni_72_Oldstyle_Bodoni_72_Smallcaps_Bookshelf_Symbol_7_Bradley_Hand_Chalkboard_SE_Chalkduster_Cochin_Copperplate_DB_LCD_Temp_Didot_English_111_Vivace_BT_Euphemia_UCAS_Futura_Geeza_Pro_GeoSlab_703_Lt_BT_GeoSlab_703_XBd_BT_Gill_Sans_Gujarati_Sangam_MN_Gurmukhi_MN_Heiti_SC_Heiti_TC_Hiragino_Kaku_Gothic_ProN_Hiragino_Mincho_ProN_Hoefler_Text_Humanst_521_Cn_BT_Kailasa_Kannada_Sangam_MN_Malayalam_Sangam_MN_Marion_Marker_Felt_Microsoft_JhengHei_Modern_No._20_Noteworthy_OPTIMA_Oriya_Sangam_MN_Papyrus_Party_LET_Rockwell_Savoye_LET_Sinhala_Sangam_MN_Snell_Roundhand_Tamil_Sangam_MN_Telugu_Sangam_MN_Thonburi_Univers_CE_55_Medium_Zapfino Arial_Arial_Hebrew_Arial_Rounded_MT_Bold_Arial_Unicode_MS_Courier_Courier_New_Georgia_Helvetica_Helvetica_Neue_Palatino_Times_Times_New_Roman_Trebuchet_MS_Verdana_Wingdings_2_Wingdings_3_Academy_Engraved_LET_American_Typewriter_Apple_Color_Emoji_Apple_SD_Gothic_Neo_AVENIR_Bangla_Sangam_MN_Baskerville_Bauhaus_93_Bodoni_72_Bodoni_72_Oldstyle_Bodoni_72_Smallcaps_Bookshelf_Symbol_7_Bradley_Hand_Chalkboard_SE_Chalkduster_Cochin_Copperplate_DB_LCD_Temp_Didot_English_111_Vivace_BT_Euphemia_UCAS_Futura_Geeza_Pro_GeoSlab_703_Lt_BT_GeoSlab_703_XBd_BT_Gill_Sans_Gujarati_Sangam_MN_Gurmukhi_MN_Heiti_SC_Heiti_TC_Hiragino_Kaku_Gothic_ProN_Hiragino_Mincho_ProN_Hoefler_Text_Humanst_521_Cn_BT_Kailasa_Kannada_Sangam_MN_Malayalam_Sangam_MN_Marion_Marker_Felt_Modern_No._20_Noteworthy_OPTIMA_Oriya_Sangam_MN_Papyrus_Party_LET_Savoye_LET_Sinhala_Sangam_MN_Snell_Roundhand_Tamil_Sangam_MN_Telugu_Sangam_MN_Thonburi_Univers_CE_55_Medium_Zapfino Andale_Mono_Arial_Arial_Black_Arial_Hebrew_Arial_Narrow_Arial_Rounded_MT_Bold_Arial_Unicode_MS_Comic_Sans_MS_Courier_Courier_New_Geneva_Georgia_Helvetica_Helvetica_Neue_Impact_LUCIDA_GRANDE_Microsoft_Sans_Serif_Monaco_Palatino_Tahoma_Times_Times_New_Roman_Trebuchet_MS_Verdana_Wingdings_Wingdings_2_Wingdings_3_American_Typewriter_Apple_Chancery_Apple_Color_Emoji_Apple_SD_Gothic_Neo_AVENIR_Ayuthaya_Bangla_Sangam_MN_Baskerville_Bauhaus_93_Big_Caslon_Bodoni_72_Bodoni_72_Oldstyle_Bodoni_72_Smallcaps_Bookshelf_Symbol_7_Bradley_Hand_Brush_Script_MT_Chalkboard_Chalkboard_SE_Chalkduster_Cochin_Copperplate_Didot_English_111_Vivace_BT_Euphemia_UCAS_Futura_Geeza_Pro_GeoSlab_703_Lt_BT_GeoSlab_703_XBd_BT_Gill_Sans_Gujarati_Sangam_MN_Gurmukhi_MN_Heiti_SC_Heiti_TC_Hiragino_Kaku_Gothic_ProN_Hiragino_Mincho_ProN_Hoefler_Text_Humanst_521_Cn_BT_Kailasa_Kannada_Sangam_MN_Krungthep_Malayalam_Sangam_MN_Marion_Marker_Felt_Microsoft_JhengHei_Modern_No._20_Nadeem_Noteworthy_OPTIMA_Oriya_Sangam_MN_Papyrus_Plantagenet_Cherokee_Savoye_LET_SimSun_Sinhala_Sangam_MN_Skia_Snell_Roundhand_Tamil_Sangam_MN_Telugu_Sangam_MN_Thonburi_Univers_CE_55_Medium_Zapfino Andale_Mono_Arial_Arial_Black_Arial_Hebrew_Arial_Narrow_Arial_Rounded_MT_Bold_Arial_Unicode_MS_Comic_Sans_MS_Courier_Courier_New_Garamond_Geneva_Georgia_Helvetica_Helvetica_Neue_Impact_LUCIDA_GRANDE_Microsoft_Sans_Serif_Monaco_Palatino_Tahoma_Times_Times_New_Roman_Trebuchet_MS_Verdana_Wingdings_Wingdings_2_Wingdings_3_American_Typewriter_Apple_Chancery_Apple_Color_Emoji_Apple_SD_Gothic_Neo_AVENIR_Ayuthaya_Bangla_Sangam_MN_Baskerville_Bauhaus_93_Big_Caslon_Bodoni_72_Bodoni_72_Oldstyle_Bodoni_72_Smallcaps_Bookshelf_Symbol_7_Bradley_Hand_Brush_Script_MT_Chalkboard_Chalkboard_SE_Chalkduster_Cochin_Copperplate_Didot_English_111_Vivace_BT_Euphemia_UCAS_Futura_Geeza_Pro_GeoSlab_703_Lt_BT_GeoSlab_703_XBd_BT_Gill_Sans_Gujarati_Sangam_MN_Gurmukhi_MN_Heiti_SC_Heiti_TC_Hiragino_Kaku_Gothic_ProN_Hiragino_Mincho_ProN_Hoefler_Text_Humanst_521_Cn_BT_Kailasa_Kannada_Sangam_MN_Krungthep_Malayalam_Sangam_MN_Marion_Marker_Felt_Microsoft_JhengHei_Modern_No._20_Nadeem_Noteworthy_OPTIMA_Oriya_Sangam_MN_Papyrus_Plantagenet_Cherokee_Savoye_LET_SimSun_Sinhala_Sangam_MN_Skia_Snell_Roundhand_Tamil_Sangam_MN_Telugu_Sangam_MN_Thonburi_Univers_CE_55_Medium_Zapfino others
2017-11-21 33.498 0.985 0.493 0.985 64.039 
2017-11-22 34.992 2.968 1.055 0.952 60.034 
2017-11-23 39.147 2.982 1.021 0.985 55.865 
2017-11-24 40.894 3.106 1.004 0.917 54.078 
2017-11-25 41.215 3.538 1.081 0.943 53.223 
2017-11-26 41.420 2.917 1.097 1.015 53.550 
2017-11-27 37.371 2.948 1.166 1.002 57.514 
2017-11-28 35.931 2.614 1.227 1.151 59.077 
2017-11-29 33.696 2.837 1.360 1.127 60.979 
2017-11-30 38.566 2.495 1.073 1.012 56.854 
2017-12-1 38.212 2.579 1.136 1.119 56.953 
2017-12-2 38.997 2.673 1.240 1.016 56.074 
2017-12-3 40.275 2.662 1.269 1.106 54.688 
2017-12-4 34.781 2.242 1.195 0.943 60.839 
2017-12-5 37.632 2.422 1.140 1.111 57.694 
2017-12-6 37.574 2.374 1.000 0.837 58.215 
2017-12-7 34.192 1.829 0.955 0.633 62.392 
2017-12-8 36.375 2.170 1.132 0.890 59.433 
2017-12-9 39.183 2.594 1.072 0.930 56.220 
2017-12-10 37.777 2.414 1.016 0.813 57.979 
2017-12-11 35.569 2.392 1.302 1.060 59.676 
2017-12-12 34.298 1.870 1.066 0.763 62.004 
2017-12-13 34.566 1.831 1.139 0.906 61.558 
2017-12-14 31.914 1.445 0.968 0.400 65.273 
2017-12-15 36.991 2.735 1.101 1.001 58.172 
2017-12-16 37.197 2.047 1.069 0.741 58.946 
2017-12-17 34.378 1.716 1.120 0.695 62.090 
2017-12-18 33.504 1.837 1.170 0.811 62.678 
2017-12-19 35.877 2.088 1.077 0.704 60.254 
2017-12-20 38.417 2.218 1.488 1.165 56.713 
2017-12-21 39.733 2.318 1.077 0.898 55.974 
2017-12-22 43.097 2.957 1.232 0.951 51.763 
2017-12-23 39.788 3.265 1.261 0.995 54.691 
2017-12-24 38.126 2.945 1.339 1.044 56.546 
2017-12-25 36.938 3.025 1.115 0.907 58.015 
2017-12-26 43.908 2.185 1.055 0.943 51.908 
2017-12-27 41.859 2.573 1.292 0.900 53.377 
2017-12-28 41.680 3.047 1.627 1.524 52.123 
2017-12-29 38.925 2.421 1.136 0.887 56.630 
2017-12-30 36.525 2.525 1.458 1.248 58.244 
2017-12-31 40.098 1.636 1.315 0.933 56.018 
2018-1-1 33.813 2.878 0.719 0.719 61.871 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 35.180 1.920 1.280 1.020 60.600 
2018-1-7 39.608 2.267 1.997 1.476 54.652 
2018-1-8 29.030 2.043 2.223 1.549 65.155 
2018-1-9 38.034 2.565 1.455 1.035 56.911 
2018-1-10 36.472 2.058 1.376 0.958 59.136 
2018-1-11 37.969 2.341 1.260 0.828 57.602 
2018-1-12 38.804 2.499 1.341 1.125 56.231 
2018-1-13 40.208 2.257 0.883 0.731 55.921 
2018-1-14 37.116 2.115 1.185 0.832 58.753 
2018-1-15 34.494 1.706 1.100 0.663 62.038 
2018-1-16 39.443 2.173 1.336 0.829 56.218 
2018-1-17 37.416 2.325 1.259 0.704 58.295 
2018-1-18 37.057 2.067 1.029 0.619 59.228 
2018-1-19 39.838 2.526 1.357 0.809 55.469 
2018-1-20 41.899 2.542 1.248 0.915 53.396 
2018-1-21 41.801 2.448 1.213 0.804 53.734 
2018-1-22 33.826 1.808 0.964 0.679 62.722 
2018-1-23 37.037 1.920 0.876 0.830 59.336 
2018-1-24 30.922 1.389 1.244 0.953 65.492 
2018-1-25 33.247 2.578 1.323 0.846 62.005 
2018-1-26 41.426 2.711 1.397 0.947 53.520 
2018-1-27 41.557 2.487 1.352 0.933 53.670 
2018-1-28 39.479 2.743 1.493 1.280 55.005 
2018-1-29 34.774 2.347 1.526 1.193 60.160 
2018-1-30 42.405 2.786 1.403 1.072 52.335 
2018-1-31 42.457 3.305 1.200 0.742 52.296 
2018-2-1 42.131 2.805 1.169 0.714 53.181 
2018-2-2 41.634 3.097 1.051 0.668 53.551 
2018-2-3 46.424 3.131 1.126 0.879 48.440 
2018-2-4 45.432 3.118 1.180 0.855 49.415 
2018-2-5 36.228 2.809 1.222 0.784 58.957 
2018-2-6 34.960 2.581 1.676 1.092 59.691 
2018-2-7 36.929 3.196 1.046 0.856 57.972 
2018-2-8 39.996 2.898 1.328 0.804 54.974 
2018-2-9 42.729 2.965 1.307 0.885 52.115 
2018-2-10 45.703 3.247 1.213 0.665 49.172 
2018-2-11 41.769 3.379 1.391 0.828 52.633 
2018-2-12 34.286 2.323 1.069 0.441 61.882 
2018-2-13 36.580 2.775 1.567 0.906 58.173 
2018-2-14 35.249 2.715 1.222 0.792 60.023 
2018-2-15 37.777 2.707 1.404 0.896 57.216 
2018-2-16 35.102 2.731 1.321 0.739 60.107 
2018-2-17 40.751 2.678 1.208 0.524 54.839 
2018-2-18 35.194 2.154 1.087 0.606 60.958 
2018-2-19 28.457 2.527 1.383 0.638 66.995 
2018-2-20 23.261 1.696 1.261 0.826 72.957 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
