Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Javanese_Hangul_Telugu_Tamil_Malayalam_Burmese_Thai_Sundanese_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Lontara_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Thaana_Inuktitut_Cherokee Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Javanese_Hangul_Telugu_Tamil_Malayalam_Burmese_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Lontara_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Thaana_Inuktitut_Cherokee Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Hangul_Telugu_Tamil_Malayalam_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Thaana_Inuktitut Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Hangul_Telugu_Tamil_Malayalam_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Thaana_Inuktitut_Cherokee others
2017-11-21 36.573 29.668 5.627 11.509 16.624 
2017-11-22 43.504 24.025 5.110 11.000 16.361 
2017-11-23 45.322 23.082 4.734 10.450 16.413 
2017-11-24 49.300 20.593 4.186 10.017 15.905 
2017-11-25 53.777 20.535 3.447 7.649 14.592 
2017-11-26 56.517 20.267 2.983 7.421 12.811 
2017-11-27 44.528 23.261 4.610 11.206 16.395 
2017-11-28 44.640 22.557 5.091 11.353 16.359 
2017-11-29 39.058 25.522 5.607 13.369 16.444 
2017-11-30 47.403 21.809 4.776 10.770 15.243 
2017-12-1 47.602 22.315 4.127 10.805 15.151 
2017-12-2 52.475 21.417 3.849 8.945 13.313 
2017-12-3 54.465 20.002 3.118 9.199 13.216 
2017-12-4 43.522 23.129 4.727 12.629 15.993 
2017-12-5 47.131 21.645 4.478 11.057 15.689 
2017-12-6 47.961 21.394 4.282 11.052 15.311 
2017-12-7 49.076 20.697 4.512 11.026 14.689 
2017-12-8 50.534 20.965 4.182 9.977 14.341 
2017-12-9 56.363 19.395 3.251 8.191 12.800 
2017-12-10 55.514 19.616 3.076 8.577 13.217 
2017-12-11 45.732 22.272 4.305 11.657 16.034 
2017-12-12 50.514 19.713 4.345 10.926 14.502 
2017-12-13 48.753 20.890 4.348 11.202 14.807 
2017-12-14 52.295 19.153 4.010 10.797 13.745 
2017-12-15 48.642 23.267 3.818 9.706 14.568 
2017-12-16 61.489 17.558 2.726 6.022 12.204 
2017-12-17 61.530 17.714 2.524 6.381 11.851 
2017-12-18 48.417 21.357 3.823 10.557 15.846 
2017-12-19 50.255 20.869 3.942 9.839 15.094 
2017-12-20 50.386 21.011 3.832 9.622 15.149 
2017-12-21 52.103 20.443 3.882 8.726 14.847 
2017-12-22 53.543 19.660 3.879 8.801 14.117 
2017-12-23 53.071 21.772 3.582 7.485 14.090 
2017-12-24 48.896 22.012 4.251 11.543 13.298 
2017-12-25 51.952 20.785 4.262 9.699 13.301 
2017-12-26 59.075 17.176 3.182 9.100 11.467 
2017-12-27 55.517 16.941 3.289 10.949 13.303 
2017-12-28 49.385 20.727 3.656 12.066 14.167 
2017-12-29 52.948 19.230 3.430 11.666 12.726 
2017-12-30 50.389 20.761 3.762 13.356 11.733 
2017-12-31 54.765 17.058 2.567 14.810 10.799 
2018-1-1 45.993 17.770 3.484 21.951 10.801 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 45.341 21.922 4.279 17.026 11.431 
2018-1-7 47.083 21.509 3.614 15.867 11.927 
2018-1-8 32.831 25.559 6.006 19.904 15.700 
2018-1-9 45.381 21.838 4.382 13.673 14.726 
2018-1-10 47.404 20.652 4.234 13.639 14.071 
2018-1-11 48.206 21.011 4.154 12.305 14.324 
2018-1-12 49.789 19.934 3.700 12.800 13.777 
2018-1-13 56.839 18.803 3.116 9.335 11.908 
2018-1-14 56.407 19.791 2.716 9.209 11.877 
2018-1-15 49.001 20.167 3.581 12.773 14.479 
2018-1-16 50.419 20.450 4.001 11.596 13.534 
2018-1-17 48.368 20.595 4.067 13.104 13.866 
2018-1-18 49.745 20.502 4.025 12.120 13.608 
2018-1-19 48.680 20.985 4.059 11.826 14.450 
2018-1-20 56.601 18.724 2.873 10.133 11.669 
2018-1-21 59.142 17.892 2.793 9.214 10.958 
2018-1-22 47.821 21.004 4.058 13.218 13.899 
2018-1-23 50.541 20.826 4.177 11.854 12.603 
2018-1-24 40.359 23.977 5.563 15.238 14.863 
2018-1-25 46.697 24.223 4.958 9.715 14.407 
2018-1-26 50.252 21.896 4.009 9.167 14.677 
2018-1-27 53.115 22.814 4.062 7.273 12.737 
2018-1-28 50.558 23.762 3.999 8.134 13.548 
2018-1-29 38.295 27.360 6.335 11.469 16.541 
2018-1-30 49.456 22.175 4.510 9.109 14.750 
2018-1-31 48.604 22.155 4.488 9.260 15.493 
2018-2-1 49.618 21.942 4.738 8.602 15.100 
2018-2-2 50.431 21.969 4.695 8.314 14.591 
2018-2-3 57.315 19.698 3.630 6.845 12.512 
2018-2-4 57.861 20.071 3.392 5.997 12.679 
2018-2-5 45.118 24.261 5.925 9.318 15.379 
2018-2-6 45.269 25.023 5.643 9.453 14.613 
2018-2-7 45.510 24.364 5.700 9.487 14.939 
2018-2-8 45.264 24.427 5.722 10.053 14.534 
2018-2-9 49.892 22.667 5.110 8.394 13.937 
2018-2-10 58.902 19.003 3.631 5.789 12.674 
2018-2-11 55.065 21.317 3.461 6.668 13.489 
