Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Javanese_Hangul_Telugu_Tamil_Malayalam_Burmese_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Lontara_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Thaana_Inuktitut_Cherokee Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Hangul_Telugu_Tamil_Malayalam_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Thaana_Inuktitut_Cherokee Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Javanese_Hangul_Telugu_Tamil_Malayalam_Burmese_Thai_Sundanese_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Lontara_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Thaana_Inuktitut_Cherokee Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Hangul_Telugu_Tamil_Malayalam_Burmese_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Inuktitut_Cherokee others
2017-11-21 30.208 11.719 37.240 2.344 18.490 
2017-11-22 24.459 11.199 44.290 2.375 17.677 
2017-11-23 23.483 10.631 46.111 2.011 17.763 
2017-11-24 20.960 10.195 50.179 1.621 17.045 
2017-11-25 20.938 7.799 54.831 1.435 14.997 
2017-11-26 20.705 7.581 57.738 1.294 12.682 
2017-11-27 23.664 11.400 45.299 2.147 17.491 
2017-11-28 22.913 11.532 45.344 2.249 17.963 
2017-11-29 25.904 13.569 39.643 2.432 18.452 
2017-11-30 22.182 10.954 48.214 2.167 16.482 
2017-12-1 22.732 11.007 48.491 1.954 15.815 
2017-12-2 21.857 9.129 53.553 1.408 14.052 
2017-12-3 20.367 9.367 55.459 1.338 13.468 
2017-12-4 23.506 12.835 44.232 2.097 17.331 
2017-12-5 22.039 11.258 47.988 1.912 16.803 
2017-12-6 21.812 11.268 48.897 2.243 15.781 
2017-12-7 21.133 11.258 50.109 2.211 15.289 
2017-12-8 21.365 10.168 51.499 1.467 15.500 
2017-12-9 19.779 8.353 57.479 1.150 13.240 
2017-12-10 20.033 8.760 56.696 1.217 13.295 
2017-12-11 22.639 11.849 46.485 1.751 17.276 
2017-12-12 20.017 11.095 51.294 2.240 15.355 
2017-12-13 21.227 11.382 49.538 2.041 15.811 
2017-12-14 19.499 10.992 53.242 1.977 14.290 
2017-12-15 23.907 9.973 49.980 1.776 14.364 
2017-12-16 17.945 6.155 62.844 1.004 12.053 
2017-12-17 18.107 6.523 62.894 1.226 11.251 
2017-12-18 21.750 10.751 49.308 1.915 16.276 
2017-12-19 21.275 10.031 51.232 1.887 15.576 
2017-12-20 21.365 9.785 51.237 1.704 15.910 
2017-12-21 20.824 8.888 53.073 1.752 15.463 
2017-12-22 19.996 8.952 54.458 1.453 15.141 
2017-12-23 22.226 7.641 54.177 1.507 14.448 
2017-12-24 22.450 11.773 49.869 1.682 14.226 
2017-12-25 21.305 9.942 53.251 1.296 14.207 
2017-12-26 17.475 9.258 60.105 1.086 12.076 
2017-12-27 17.236 11.139 56.482 1.402 13.742 
2017-12-28 21.068 12.265 50.198 1.284 15.184 
2017-12-29 19.608 11.895 53.988 1.220 13.289 
2017-12-30 21.103 13.576 51.220 1.246 12.854 
2017-12-31 17.393 15.102 55.841 1.137 10.527 
2018-1-1 18.214 22.500 47.143 2.857 9.286 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 22.336 17.347 46.197 1.680 12.441 
2018-1-7 21.913 16.166 47.968 1.753 12.200 
2018-1-8 25.955 20.212 33.340 3.678 16.815 
