Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Javanese_Hangul_Telugu_Tamil_Malayalam_Burmese_Thai_Sundanese_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Lontara_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Thaana_Inuktitut_Cherokee Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Hangul_Telugu_Tamil_Malayalam_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Inuktitut_Cherokee Latin_Chinese_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Kana_Gurmukhi_Hangul_Telugu_Tamil_Malayalam_Burmese_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Syriac_Inuktitut_Cherokee Latin_Arabic_Devanagari_Cyrillic_Bengali/Assamese_Gurmukhi_Hangul_Telugu_Tamil_Malayalam_Burmese_Thai_Kannada_Gujarati_Lao_Odia_Ge-ez_Sinhala_Armenian_Khmer_Greek_Hebrew_Tibetan_Georgian_Modern_Yi_Mongolian_Tifinagh_Inuktitut_Cherokee others
2017-11-21 37.337 0.522 2.611 0.261 59.269 
2017-11-22 43.919 1.479 1.037 0.584 52.981 
2017-11-23 45.743 1.476 0.939 0.566 51.276 
2017-11-24 49.710 1.668 1.128 0.618 46.877 
2017-11-25 54.345 2.099 1.100 0.633 41.822 
2017-11-26 57.174 1.838 0.941 0.605 39.441 
2017-11-27 44.913 1.471 1.129 0.705 51.782 
2017-11-28 45.011 1.321 1.221 0.598 51.849 
2017-11-29 39.413 1.302 1.408 0.661 57.216 
2017-11-30 47.747 1.328 1.332 0.601 48.992 
2017-12-1 48.200 1.346 0.863 0.429 49.162 
2017-12-2 53.104 1.518 0.833 0.557 43.987 
2017-12-3 55.062 1.531 0.909 0.535 41.963 
2017-12-4 43.993 1.076 1.200 0.521 53.209 
2017-12-5 47.642 1.277 0.959 0.532 49.590 
2017-12-6 48.470 1.304 0.979 0.467 48.781 
2017-12-7 49.770 1.019 0.933 0.486 47.791 
2017-12-8 51.153 1.211 0.771 0.395 46.471 
2017-12-9 56.944 1.518 0.731 0.478 40.329 
2017-12-10 56.157 1.444 0.818 0.451 41.130 
2017-12-11 46.142 1.219 1.019 0.520 51.101 
2017-12-12 51.116 1.003 0.937 0.414 46.530 
2017-12-13 49.300 0.982 0.862 0.423 48.433 
2017-12-14 52.978 0.809 0.818 0.312 45.083 
2017-12-15 49.412 1.544 1.003 0.482 47.559 
2017-12-16 62.401 1.315 0.710 0.391 35.183 
2017-12-17 62.337 1.147 0.622 0.486 35.407 
2017-12-18 49.127 0.994 0.908 0.425 48.546 
2017-12-19 50.897 1.162 0.904 0.512 46.526 
2017-12-20 50.912 1.195 1.103 0.486 46.304 
2017-12-21 52.592 1.280 0.962 0.516 44.650 
2017-12-22 53.924 1.696 0.901 0.656 42.822 
2017-12-23 53.593 1.840 0.880 0.603 43.084 
2017-12-24 49.464 1.622 0.918 0.582 47.414 
2017-12-25 52.755 1.738 0.579 0.318 44.610 
2017-12-26 59.663 1.342 0.720 0.436 37.839 
2017-12-27 56.094 1.545 0.739 0.426 41.195 
2017-12-28 49.909 1.659 1.032 0.481 46.919 
2017-12-29 53.655 1.375 0.794 0.404 43.771 
2017-12-30 51.010 1.386 0.856 0.436 46.312 
