de-DE,de;q=0.9,en-US;q=0.8,en;q=0.7 en-US,en;q=0.9 de-DE de-DE,de;q=0.8,en-US;q=0.6,en;q=0.4 others
2017-11-21 10.130 7.013 2.338 7.532 72.987 
2017-11-22 18.021 3.445 6.461 8.188 63.885 
2017-11-23 17.758 2.905 5.761 8.054 65.522 
2017-11-24 17.186 2.154 6.162 8.773 65.725 
2017-11-25 17.341 2.008 5.030 9.337 66.283 
2017-11-26 18.719 1.506 3.699 10.401 65.676 
2017-11-27 16.867 3.332 6.876 7.926 65.000 
2017-11-28 16.230 4.023 6.009 8.071 65.667 
2017-11-29 16.169 4.939 6.650 7.101 65.142 
2017-11-30 17.122 3.346 5.473 8.378 65.682 
2017-12-1 17.249 2.893 6.385 8.818 64.654 
2017-12-2 17.813 2.227 5.350 9.924 64.686 
2017-12-3 17.675 1.883 4.755 9.520 66.166 
2017-12-4 17.338 3.788 6.734 8.134 64.006 
2017-12-5 17.759 3.313 6.611 8.415 63.902 
2017-12-6 17.820 3.612 6.116 8.483 63.969 
2017-12-7 18.084 4.092 5.146 10.181 62.496 
2017-12-8 19.344 2.605 6.283 9.886 61.883 
2017-12-9 19.120 1.719 5.152 10.837 63.173 
2017-12-10 19.761 1.666 5.020 10.645 62.908 
2017-12-11 18.526 2.750 7.737 8.437 62.550 
2017-12-12 19.034 3.365 5.386 9.744 62.470 
2017-12-13 19.213 3.196 6.309 9.635 61.646 
2017-12-14 20.140 3.944 5.156 10.703 60.056 
2017-12-15 19.119 2.797 4.655 9.693 63.736 
2017-12-16 20.948 1.418 4.327 12.294 61.012 
2017-12-17 21.101 1.681 3.498 11.807 61.913 
2017-12-18 19.341 2.984 6.649 9.674 61.352 
2017-12-19 20.290 2.865 6.114 8.974 61.758 
2017-12-20 19.525 2.520 6.473 8.345 63.136 
2017-12-21 19.764 2.611 6.343 8.714 62.568 
2017-12-22 18.629 1.961 6.091 8.170 65.149 
2017-12-23 19.559 2.253 5.945 7.969 64.274 
2017-12-24 17.909 3.378 4.671 7.669 66.372 
2017-12-25 20.165 2.961 4.838 9.981 62.055 
2017-12-26 18.646 1.898 4.200 9.459 65.797 
2017-12-27 17.921 2.515 4.917 9.232 65.416 
2017-12-28 18.472 2.037 6.515 7.216 65.761 
2017-12-29 19.455 2.155 5.476 9.292 63.622 
2017-12-30 19.940 2.390 4.875 9.051 63.743 
2017-12-31 19.083 2.016 4.235 9.500 65.166 
2018-1-1 17.626 5.036 4.676 8.993 63.669 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 18.113 3.670 4.733 7.493 65.992 
2018-1-7 16.950 3.233 4.038 6.863 68.916 
2018-1-8 15.262 6.821 5.605 5.446 66.866 
2018-1-9 17.654 3.489 6.400 7.459 64.998 
2018-1-10 18.374 4.253 5.650 8.113 63.611 
2018-1-11 19.672 2.881 6.677 7.916 62.853 
2018-1-12 19.059 2.600 6.415 8.139 63.788 
2018-1-13 20.514 1.542 5.303 9.796 62.845 
2018-1-14 21.366 1.670 4.600 10.418 61.946 
2018-1-15 19.358 3.310 5.994 8.920 62.418 
2018-1-16 18.956 3.259 5.386 8.391 64.008 
2018-1-17 19.707 3.563 5.894 8.610 62.226 
2018-1-18 20.247 3.469 5.649 8.679 61.957 
2018-1-19 19.625 2.871 6.604 7.548 63.352 
2018-1-20 19.985 1.768 4.738 9.097 64.412 
2018-1-21 20.369 1.549 4.558 9.999 63.525 
2018-1-22 20.543 3.691 6.085 9.066 60.615 
2018-1-23 20.174 3.782 5.321 8.803 61.920 
2018-1-24 17.324 7.301 4.699 7.049 63.628 
2018-1-25 20.258 4.463 5.231 8.113 61.936 
2018-1-26 19.354 2.840 7.061 7.677 63.069 
2018-1-27 19.322 2.313 5.833 8.100 64.431 
2018-1-28 18.919 2.936 5.768 7.150 65.228 
2018-1-29 16.659 7.060 5.818 5.197 65.266 
2018-1-30 18.022 4.489 6.000 6.710 64.780 
2018-1-31 17.346 4.289 5.796 6.403 66.166 
2018-2-1 17.632 4.718 5.401 6.795 65.454 
2018-2-2 17.523 5.313 4.612 7.314 65.238 
2018-2-3 17.652 2.668 5.291 7.922 66.467 
2018-2-4 18.565 2.320 5.294 7.978 65.843 
2018-2-5 17.390 6.823 4.744 7.031 64.013 
2018-2-6 17.675 7.210 4.057 7.199 63.860 
2018-2-7 16.975 7.185 3.792 7.069 64.979 
2018-2-8 16.483 7.009 4.606 6.171 65.731 
2018-2-9 17.190 5.552 5.366 6.612 65.280 
2018-2-10 17.745 3.266 4.734 8.363 65.892 
2018-2-11 18.533 3.829 5.026 8.137 64.475 
2018-2-12 17.950 7.601 4.273 6.342 63.834 
2018-2-13 17.952 7.177 4.539 6.833 63.499 
2018-2-14 17.045 7.796 3.892 7.260 64.007 
2018-2-15 17.125 7.344 3.821 6.668 65.042 
2018-2-16 18.751 6.626 4.643 7.184 62.795 
2018-2-17 19.672 3.300 3.764 9.782 63.482 
2018-2-18 20.443 3.694 3.721 9.416 62.727 
2018-2-19 17.412 8.173 4.817 7.278 62.319 
2018-2-20 18.703 9.545 4.446 6.914 60.392 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
