de,en-US;q=0.7,en;q=0.3 en-US,en;q=0.5 de,de-DE;q=0.8,en-US;q=0.5,en;q=0.3 de-DE,de;q=0.8,en-US;q=0.5,en;q=0.3 others
2017-11-21 14.097 6.608 1.322 1.322 76.652 
2017-11-22 22.316 3.447 1.194 1.689 71.354 
2017-11-23 22.900 3.685 0.905 1.442 71.068 
2017-11-24 22.395 3.378 1.068 1.662 71.496 
2017-11-25 21.679 2.058 1.581 1.636 73.046 
2017-11-26 21.404 1.715 1.643 1.454 73.784 
2017-11-27 23.653 3.253 0.979 1.554 70.561 
2017-11-28 22.261 4.497 1.070 1.383 70.789 
2017-11-29 23.181 5.816 1.019 1.495 68.490 
2017-11-30 22.247 3.788 1.019 1.489 71.457 
2017-12-1 23.673 3.683 1.407 1.739 69.498 
2017-12-2 22.060 2.579 1.681 1.689 71.991 
2017-12-3 21.486 3.649 1.611 1.693 71.561 
2017-12-4 23.756 3.966 1.182 1.797 69.299 
2017-12-5 22.836 3.115 1.351 1.675 71.023 
2017-12-6 21.701 3.774 1.494 1.653 71.378 
2017-12-7 20.984 4.375 1.683 1.726 71.232 
2017-12-8 23.011 2.919 1.571 1.705 70.794 
2017-12-9 21.304 2.438 1.656 1.945 72.658 
2017-12-10 21.585 2.903 1.827 1.814 71.871 
2017-12-11 24.110 3.148 1.473 1.754 69.516 
2017-12-12 20.841 4.364 1.739 1.661 71.394 
2017-12-13 22.189 3.591 1.584 1.822 70.814 
2017-12-14 19.447 4.648 2.265 2.016 71.623 
2017-12-15 23.040 3.787 1.408 1.457 70.308 
2017-12-16 19.442 1.226 2.183 2.130 75.020 
2017-12-17 19.769 1.412 3.229 2.407 73.183 
2017-12-18 24.488 1.779 1.772 1.852 70.109 
2017-12-19 22.434 2.035 1.588 1.672 72.271 
2017-12-20 23.331 1.733 1.352 1.648 71.937 
2017-12-21 21.490 1.604 1.241 1.769 73.896 
2017-12-22 22.144 1.302 1.163 1.762 73.630 
2017-12-23 22.364 1.540 1.203 1.781 73.111 
2017-12-24 20.131 6.293 1.155 1.713 70.708 
2017-12-25 19.916 4.842 1.196 1.614 72.431 
2017-12-26 17.503 4.899 1.663 1.675 74.260 
2017-12-27 17.637 5.892 1.758 1.750 72.963 
2017-12-28 21.931 5.573 0.937 1.640 69.920 
2017-12-29 19.912 6.419 1.135 1.759 70.774 
2017-12-30 19.789 9.100 1.473 1.776 67.861 
2017-12-31 16.149 12.296 1.621 1.541 68.393 
2018-1-1 13.426 20.370 0.926 0.000 65.278 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 18.394 14.520 1.334 1.804 63.948 
2018-1-7 18.771 12.793 1.078 1.402 65.956 
2018-1-8 21.334 14.385 0.633 1.107 62.541 
2018-1-9 21.441 7.364 1.190 1.514 68.491 
2018-1-10 19.492 8.154 1.309 1.743 69.303 
2018-1-11 22.209 5.005 1.189 1.843 69.754 
2018-1-12 21.258 6.393 1.188 1.697 69.464 
2018-1-13 20.302 4.419 1.494 1.839 71.946 
2018-1-14 20.476 4.405 1.491 1.717 71.911 
2018-1-15 21.533 5.707 1.701 1.602 69.456 
2018-1-16 19.806 5.827 1.194 1.638 71.534 
2018-1-17 20.815 7.286 1.066 1.460 69.374 
2018-1-18 19.752 6.281 1.194 1.581 71.191 
2018-1-19 20.278 5.455 0.954 1.902 71.411 
2018-1-20 18.795 6.109 1.481 1.745 71.869 
2018-1-21 17.474 5.409 1.327 1.660 74.130 
2018-1-22 20.068 6.664 1.339 1.775 70.154 
2018-1-23 18.891 6.019 1.021 1.662 72.408 
2018-1-24 18.163 9.992 0.931 1.028 69.886 
2018-1-25 22.117 2.537 1.150 1.929 72.269 
2018-1-26 21.733 1.528 0.866 1.700 74.172 
2018-1-27 21.925 1.410 1.026 1.953 73.686 
2018-1-28 22.510 1.529 1.141 1.905 72.914 
2018-1-29 22.841 2.931 0.705 1.751 71.771 
2018-1-30 18.943 2.119 0.953 1.564 76.420 
2018-1-31 19.508 2.305 1.133 1.620 75.435 
2018-2-1 18.421 2.542 1.155 1.414 76.468 
2018-2-2 16.782 2.509 1.352 1.968 77.390 
2018-2-3 18.522 1.484 1.172 1.566 77.256 
2018-2-4 17.851 1.472 1.153 1.733 77.791 
2018-2-5 18.468 3.091 0.986 1.692 75.763 
2018-2-6 17.834 3.517 1.214 1.730 75.705 
2018-2-7 17.348 3.590 1.101 1.716 76.244 
2018-2-8 16.980 3.603 0.955 1.371 77.091 
2018-2-9 17.251 2.333 0.985 1.472 77.960 
2018-2-10 15.822 1.620 1.339 1.663 79.555 
2018-2-11 17.278 1.900 0.916 1.846 78.059 
2018-2-12 18.354 3.601 0.979 1.610 75.456 
2018-2-13 17.806 3.235 0.856 1.522 76.580 
2018-2-14 17.252 3.677 1.414 1.497 76.160 
2018-2-15 16.279 3.571 1.140 1.695 77.314 
2018-2-16 17.816 2.969 1.102 1.788 76.325 
2018-2-17 15.785 1.764 1.485 1.903 79.064 
2018-2-18 16.319 2.248 1.894 1.965 77.575 
2018-2-19 19.114 3.572 1.160 1.590 74.565 
2018-2-20 17.681 4.195 0.809 1.438 75.877 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
