de-de en-us de-ch de-at others
2017-11-21 23.077 3.692 0.923 0.000 72.308 
2017-11-22 22.887 0.900 0.561 1.038 74.613 
2017-11-23 20.195 0.794 4.090 2.865 72.056 
2017-11-24 25.714 0.889 3.240 1.118 69.039 
2017-11-25 30.062 0.815 1.674 0.996 66.454 
2017-11-26 32.242 0.725 0.730 1.181 65.121 
2017-11-27 24.543 0.896 0.565 1.270 72.727 
2017-11-28 21.390 0.995 2.909 1.611 73.095 
2017-11-29 20.915 1.206 0.973 0.541 76.365 
2017-11-30 24.254 1.141 2.585 1.343 70.676 
2017-12-1 25.192 0.787 0.744 0.700 72.577 
2017-12-2 28.653 0.744 0.293 0.642 69.668 
2017-12-3 30.226 0.748 0.364 0.850 67.812 
2017-12-4 22.542 0.861 0.519 0.618 75.461 
2017-12-5 24.910 0.787 0.262 0.971 73.069 
2017-12-6 25.177 1.006 0.319 0.407 73.091 
2017-12-7 24.034 0.837 0.489 0.276 74.364 
2017-12-8 25.136 0.711 0.332 0.488 73.332 
2017-12-9 29.803 0.656 0.276 0.292 68.973 
2017-12-10 28.315 0.569 0.285 0.223 70.607 
2017-12-11 24.009 0.761 0.187 0.213 74.830 
2017-12-12 24.281 0.859 0.236 0.826 73.799 
2017-12-13 23.952 0.780 0.185 0.427 74.656 
2017-12-14 23.155 0.700 0.079 0.138 75.927 
2017-12-15 26.634 0.701 0.186 0.247 72.233 
2017-12-16 30.166 0.695 0.257 0.153 68.729 
2017-12-17 28.608 0.825 0.206 0.144 70.216 
2017-12-18 22.654 0.829 0.350 0.694 75.473 
2017-12-19 25.266 0.866 0.326 0.535 73.007 
2017-12-20 24.806 0.858 1.542 1.432 71.362 
2017-12-21 28.574 0.674 0.464 0.523 69.765 
2017-12-22 31.157 0.699 0.732 0.961 66.452 
2017-12-23 29.468 0.821 0.369 0.897 68.446 
2017-12-24 28.046 0.928 0.381 0.481 70.164 
2017-12-25 26.447 0.775 0.315 0.739 71.724 
2017-12-26 33.692 0.628 0.283 0.432 64.965 
2017-12-27 31.753 0.738 0.316 0.316 66.875 
2017-12-28 29.644 0.741 0.286 0.290 69.038 
2017-12-29 28.222 0.575 0.275 0.269 70.659 
2017-12-30 25.750 0.856 0.252 0.180 72.962 
2017-12-31 28.295 0.976 0.263 0.283 70.182 
2018-1-1 18.431 0.392 0.784 3.137 77.255 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 22.435 0.959 0.298 0.253 76.055 
2018-1-7 27.174 1.173 0.346 0.419 70.888 
2018-1-8 16.949 1.642 0.274 0.358 80.777 
2018-1-9 25.074 1.000 0.266 0.594 73.065 
2018-1-10 24.473 0.946 0.665 0.287 73.629 
2018-1-11 24.941 0.707 0.340 0.659 73.353 
2018-1-12 25.589 0.762 1.239 0.364 72.045 
2018-1-13 27.975 0.736 1.388 0.628 69.274 
2018-1-14 26.902 0.741 0.683 0.485 71.189 
2018-1-15 23.245 0.827 0.599 0.295 75.034 
2018-1-16 26.447 0.853 1.437 0.280 70.984 
2018-1-17 22.988 0.854 2.132 0.394 73.633 
2018-1-18 25.075 0.897 0.527 0.288 73.212 
2018-1-19 26.968 0.848 0.338 0.329 71.518 
2018-1-20 31.130 0.647 0.245 0.216 67.762 
2018-1-21 31.832 0.789 0.311 0.474 66.594 
2018-1-22 22.608 1.048 0.198 0.147 75.998 
2018-1-23 25.352 0.783 0.221 0.295 73.349 
2018-1-24 17.245 1.643 0.970 0.833 79.308 
2018-1-25 22.206 1.071 0.863 0.368 75.492 
2018-1-26 27.734 0.881 0.424 0.809 70.152 
2018-1-27 27.013 0.767 1.243 1.777 69.200 
2018-1-28 27.661 1.048 0.491 1.001 69.798 
2018-1-29 19.847 1.609 1.517 0.835 76.191 
2018-1-30 29.324 1.204 0.436 0.786 68.249 
2018-1-31 28.326 1.248 0.567 1.796 68.062 
2018-2-1 28.930 1.146 0.615 1.070 68.238 
2018-2-2 30.049 1.557 0.364 0.565 67.465 
2018-2-3 35.282 0.973 0.348 0.593 62.803 
2018-2-4 35.345 0.939 0.308 0.506 62.902 
2018-2-5 24.304 1.282 1.216 0.877 72.321 
2018-2-6 23.686 1.752 1.431 0.481 72.650 
2018-2-7 25.806 1.413 0.565 0.683 71.533 
2018-2-8 27.689 1.638 0.395 0.497 69.781 
2018-2-9 30.548 1.478 0.319 0.478 67.177 
2018-2-10 36.155 1.033 0.387 0.479 61.946 
2018-2-11 30.357 1.315 1.639 1.115 65.574 
2018-2-12 22.249 1.375 0.940 0.558 74.877 
2018-2-13 23.946 1.520 1.230 0.861 72.443 
2018-2-14 24.173 1.682 1.025 0.369 72.751 
2018-2-15 26.448 1.651 0.525 0.663 70.712 
2018-2-16 23.719 1.214 0.494 0.507 74.066 
2018-2-17 32.090 0.909 1.268 0.613 65.120 
2018-2-18 28.443 1.016 0.280 0.324 69.937 
2018-2-19 18.664 1.236 0.588 0.874 78.637 
2018-2-20 14.411 1.570 0.404 0.880 82.735 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
