True False others
2017-11-21 98.741 1.259 0.000 
2017-11-22 96.704 3.296 0.000 
2017-11-23 96.995 3.005 0.000 
2017-11-24 96.989 3.011 0.000 
2017-11-25 96.466 3.534 0.000 
2017-11-26 96.602 3.398 0.000 
2017-11-27 96.974 3.026 0.000 
2017-11-28 96.776 3.224 0.000 
2017-11-29 97.032 2.968 0.000 
2017-11-30 96.786 3.214 0.000 
2017-12-1 96.505 3.495 0.000 
2017-12-2 96.067 3.933 0.000 
2017-12-3 96.076 3.924 0.000 
2017-12-4 96.642 3.358 0.000 
2017-12-5 96.604 3.396 0.000 
2017-12-6 96.622 3.378 0.000 
2017-12-7 96.632 3.368 0.000 
2017-12-8 96.143 3.857 0.000 
2017-12-9 96.241 3.759 0.000 
2017-12-10 96.135 3.865 0.000 
2017-12-11 96.425 3.575 0.000 
2017-12-12 96.499 3.501 0.000 
2017-12-13 96.548 3.452 0.000 
2017-12-14 96.568 3.432 0.000 
2017-12-15 96.233 3.767 0.000 
2017-12-16 95.959 4.041 0.000 
2017-12-17 95.946 4.054 0.000 
2017-12-18 96.309 3.691 0.000 
2017-12-19 96.402 3.598 0.000 
2017-12-20 96.448 3.552 0.000 
2017-12-21 96.638 3.362 0.000 
2017-12-22 96.416 3.584 0.000 
2017-12-23 96.416 3.584 0.000 
2017-12-24 96.183 3.817 0.000 
2017-12-25 96.822 3.178 0.000 
2017-12-26 96.391 3.609 0.000 
2017-12-27 96.659 3.341 0.000 
2017-12-28 96.358 3.642 0.000 
2017-12-29 96.664 3.336 0.000 
2017-12-30 96.566 3.434 0.000 
2017-12-31 96.563 3.437 0.000 
2018-1-1 95.819 4.181 0.000 
2018-1-2 0.000 0.000 100.000 
2018-1-3 0.000 0.000 100.000 
2018-1-4 0.000 0.000 100.000 
2018-1-5 0.000 0.000 100.000 
2018-1-6 96.905 3.095 0.000 
2018-1-7 97.060 2.940 0.000 
2018-1-8 97.447 2.553 0.000 
2018-1-9 97.123 2.877 0.000 
2018-1-10 97.061 2.939 0.000 
2018-1-11 96.606 3.394 0.000 
2018-1-12 96.688 3.312 0.000 
2018-1-13 96.372 3.628 0.000 
2018-1-14 96.345 3.655 0.000 
2018-1-15 96.773 3.227 0.000 
2018-1-16 96.922 3.078 0.000 
2018-1-17 96.862 3.138 0.000 
2018-1-18 96.954 3.046 0.000 
2018-1-19 96.648 3.352 0.000 
2018-1-20 96.637 3.363 0.000 
2018-1-21 96.803 3.197 0.000 
2018-1-22 96.831 3.169 0.000 
2018-1-23 96.805 3.195 0.000 
2018-1-24 97.008 2.992 0.000 
2018-1-25 96.710 3.290 0.000 
2018-1-26 96.688 3.312 0.000 
2018-1-27 96.582 3.418 0.000 
2018-1-28 96.659 3.341 0.000 
2018-1-29 97.088 2.912 0.000 
2018-1-30 97.079 2.921 0.000 
2018-1-31 96.655 3.345 0.000 
2018-2-1 96.779 3.221 0.000 
2018-2-2 97.018 2.982 0.000 
2018-2-3 96.515 3.485 0.000 
2018-2-4 96.599 3.401 0.000 
2018-2-5 96.572 3.428 0.000 
2018-2-6 96.946 3.054 0.000 
2018-2-7 97.348 2.652 0.000 
2018-2-8 97.200 2.800 0.000 
2018-2-9 96.889 3.111 0.000 
2018-2-10 96.965 3.035 0.000 
2018-2-11 96.711 3.289 0.000 
2018-2-12 97.073 2.927 0.000 
2018-2-13 96.997 3.003 0.000 
2018-2-14 97.095 2.905 0.000 
2018-2-15 97.323 2.677 0.000 
2018-2-16 96.945 3.055 0.000 
2018-2-17 96.222 3.778 0.000 
2018-2-18 96.343 3.657 0.000 
2018-2-19 97.156 2.844 0.000 
2018-2-20 97.578 2.422 0.000 
2018-2-21 0.000 0.000 100.000 
2018-2-22 0.000 0.000 100.000 
