-60 300 360 0 others
2017-11-21 63.224 8.060 6.549 1.763 20.403 
2017-11-22 84.896 2.148 1.905 1.529 9.521 
2017-11-23 86.665 1.519 1.528 1.491 8.798 
2017-11-24 89.052 1.375 0.911 1.286 7.376 
2017-11-25 90.689 1.746 1.048 1.028 5.489 
2017-11-26 92.532 1.166 0.665 0.889 4.749 
2017-11-27 85.963 2.116 1.477 1.930 8.513 
2017-11-28 83.547 2.506 1.656 1.856 10.434 
2017-11-29 79.884 3.230 1.889 1.944 13.053 
2017-11-30 85.984 2.216 1.545 1.331 8.924 
2017-12-1 87.755 1.966 1.316 1.263 7.700 
2017-12-2 89.215 1.622 1.109 1.083 6.971 
2017-12-3 90.314 1.265 0.919 0.835 6.666 
2017-12-4 85.413 1.978 1.599 1.534 9.475 
2017-12-5 87.242 1.740 1.337 1.857 7.824 
2017-12-6 84.704 1.850 1.599 3.701 8.145 
2017-12-7 84.651 2.001 1.424 2.033 9.890 
2017-12-8 89.943 1.259 0.939 1.325 6.534 
2017-12-9 91.966 1.160 0.653 0.868 5.353 
2017-12-10 91.106 0.900 0.609 1.909 5.477 
2017-12-11 88.748 1.610 0.956 1.461 7.226 
2017-12-12 86.197 1.890 1.147 1.456 9.309 
2017-12-13 87.977 1.519 1.023 1.406 8.075 
2017-12-14 85.995 1.428 1.204 1.249 10.124 
2017-12-15 87.436 2.072 1.789 0.979 7.723 
2017-12-16 93.675 0.775 0.520 1.244 3.787 
2017-12-17 92.051 1.206 0.779 0.817 5.147 
2017-12-18 89.842 1.402 0.998 1.223 6.535 
2017-12-19 90.463 1.355 0.762 1.145 6.276 
2017-12-20 91.408 1.116 0.632 1.589 5.254 
2017-12-21 91.348 1.228 0.713 1.083 5.628 
2017-12-22 93.112 1.105 0.423 0.783 4.576 
2017-12-23 91.969 1.182 0.692 0.863 5.295 
2017-12-24 83.371 1.691 1.033 1.078 12.827 
2017-12-25 87.144 1.056 0.533 0.989 10.278 
2017-12-26 89.774 0.865 0.596 0.740 8.025 
2017-12-27 87.384 1.181 0.816 0.855 9.764 
2017-12-28 89.119 0.898 0.545 0.910 8.528 
2017-12-29 88.121 1.057 0.695 0.907 9.219 
2017-12-30 85.225 1.055 0.762 0.988 11.969 
2017-12-31 83.503 1.206 0.626 0.998 13.668 
2018-1-1 75.261 2.439 0.000 1.394 20.906 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 77.590 1.980 1.065 1.427 17.938 
2018-1-7 80.082 1.865 1.018 1.332 15.702 
2018-1-8 70.910 3.523 2.324 2.425 20.818 
2018-1-9 84.086 1.697 1.195 1.549 11.473 
2018-1-10 82.848 1.947 1.321 1.513 12.370 
2018-1-11 87.937 1.603 0.875 1.174 8.411 
2018-1-12 87.066 1.377 1.072 1.181 9.304 
2018-1-13 91.483 0.874 0.583 0.803 6.258 
2018-1-14 90.587 1.131 0.699 1.037 6.546 
2018-1-15 85.510 1.973 1.575 1.223 9.719 
2018-1-16 86.419 1.566 0.965 1.270 9.781 
2018-1-17 85.503 1.674 1.088 1.327 10.407 
2018-1-18 85.724 1.791 1.160 1.286 10.039 
2018-1-19 87.269 1.498 0.930 1.211 9.093 
2018-1-20 89.857 0.878 0.661 0.794 7.811 
2018-1-21 90.607 0.958 0.643 0.754 7.038 
2018-1-22 84.194 1.893 1.346 1.381 11.186 
2018-1-23 84.583 2.018 1.399 1.497 10.503 
2018-1-24 73.690 3.657 2.112 2.386 18.156 
2018-1-25 84.751 2.483 1.920 1.998 8.848 
2018-1-26 90.190 1.815 1.159 1.346 5.490 
2018-1-27 90.771 1.314 1.010 0.919 5.986 
2018-1-28 89.157 2.098 1.150 1.336 6.259 
2018-1-29 79.018 3.528 2.252 2.349 12.853 
2018-1-30 85.400 2.408 1.601 2.054 8.537 
2018-1-31 85.363 2.465 1.448 1.879 8.844 
2018-2-1 84.089 2.533 1.729 1.961 9.688 
2018-2-2 82.568 2.884 2.050 1.911 10.587 
2018-2-3 90.438 1.556 0.903 0.910 6.194 
2018-2-4 91.226 1.335 0.908 1.043 5.488 
2018-2-5 79.651 3.543 1.791 2.308 12.707 
2018-2-6 77.949 3.780 2.467 2.636 13.169 
2018-2-7 77.680 3.839 2.959 2.365 13.157 
2018-2-8 77.832 3.680 2.948 2.374 13.166 
2018-2-9 82.642 3.134 1.971 1.939 10.313 
2018-2-10 88.326 1.780 1.272 1.229 7.393 
2018-2-11 86.683 2.563 1.533 1.301 7.920 
2018-2-12 76.634 4.478 3.397 2.409 13.082 
2018-2-13 78.783 3.913 2.798 2.426 12.081 
2018-2-14 76.796 3.972 2.869 2.763 13.600 
2018-2-15 77.582 3.673 2.861 2.470 13.414 
2018-2-16 79.175 3.719 2.929 2.162 12.016 
2018-2-17 88.359 1.903 1.240 1.211 7.286 
2018-2-18 85.060 2.486 1.631 1.578 9.245 
2018-2-19 74.327 4.202 2.934 2.946 15.591 
2018-2-20 70.365 4.645 2.838 3.116 19.035 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
