-60 -180 -330 300 others
2017-11-21 63.224 0.504 0.756 8.060 27.456 
2017-11-22 84.896 1.705 1.148 2.148 10.102 
2017-11-23 86.665 1.717 1.062 1.519 9.038 
2017-11-24 89.052 1.786 0.963 1.375 6.824 
2017-11-25 90.694 0.902 0.661 1.746 5.998 
2017-11-26 92.532 0.790 0.259 1.166 5.254 
2017-11-27 85.963 1.554 1.037 2.116 9.329 
2017-11-28 83.552 2.096 1.304 2.506 10.542 
2017-11-29 79.884 3.205 1.566 3.230 12.115 
2017-11-30 85.984 1.992 1.098 2.216 8.710 
2017-12-1 87.755 1.948 0.937 1.966 7.395 
2017-12-2 89.215 1.328 0.708 1.622 7.127 
2017-12-3 90.314 2.303 0.208 1.265 5.910 
2017-12-4 85.413 2.105 1.066 1.978 9.438 
2017-12-5 87.242 1.523 1.029 1.740 8.466 
2017-12-6 84.704 1.640 1.022 1.850 10.784 
2017-12-7 84.651 2.162 1.424 2.001 9.762 
2017-12-8 89.943 1.387 0.891 1.259 6.521 
2017-12-9 91.966 1.346 0.536 1.160 4.992 
2017-12-10 91.106 1.831 0.265 0.900 5.898 
2017-12-11 88.748 1.551 0.869 1.610 7.222 
2017-12-12 86.197 2.277 1.236 1.890 8.400 
2017-12-13 87.977 1.703 1.140 1.519 7.660 
2017-12-14 86.003 2.390 1.671 1.428 8.508 
2017-12-15 87.436 2.468 0.132 2.072 7.892 
2017-12-16 93.675 0.408 0.591 0.775 4.551 
2017-12-17 92.051 0.579 0.209 1.206 5.954 
2017-12-18 89.847 0.673 1.015 1.402 7.062 
2017-12-19 90.463 0.598 1.126 1.355 6.458 
2017-12-20 91.408 0.437 1.011 1.116 6.027 
2017-12-21 91.348 0.618 1.020 1.228 5.786 
2017-12-22 93.116 0.454 0.892 1.105 4.433 
2017-12-23 91.969 0.622 1.003 1.182 5.225 
2017-12-24 83.383 4.970 0.763 1.692 9.192 
2017-12-25 87.144 3.867 1.278 1.056 6.656 
2017-12-26 89.774 3.426 1.192 0.865 4.743 
2017-12-27 87.384 4.112 1.227 1.181 6.096 
2017-12-28 89.119 3.849 0.894 0.898 5.239 
2017-12-29 88.125 4.451 1.028 1.057 5.339 
2017-12-30 85.225 6.533 0.930 1.055 6.257 
2017-12-31 83.503 9.369 0.526 1.206 5.396 
2018-1-1 75.261 15.331 0.000 2.439 6.969 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 77.590 10.733 1.869 1.980 7.828 
2018-1-7 80.082 9.678 0.495 1.865 7.880 
2018-1-8 70.910 9.014 2.443 3.523 14.111 
2018-1-9 84.090 5.000 1.186 1.697 8.027 
2018-1-10 82.853 5.308 1.503 1.947 8.390 
2018-1-11 87.940 3.326 1.023 1.603 6.108 
2018-1-12 87.066 4.139 0.972 1.377 6.447 
2018-1-13 91.483 2.952 0.450 0.874 4.241 
2018-1-14 90.592 2.944 0.255 1.132 5.077 
2018-1-15 85.517 3.434 0.726 1.973 8.351 
2018-1-16 86.431 3.594 1.028 1.566 7.381 
2018-1-17 85.507 4.732 1.093 1.674 6.993 
2018-1-18 85.729 4.047 1.131 1.791 7.303 
2018-1-19 87.269 3.445 1.018 1.498 6.771 
2018-1-20 89.857 4.314 0.799 0.878 4.152 
2018-1-21 90.607 3.855 0.310 0.958 4.271 
2018-1-22 84.194 4.416 1.264 1.893 8.232 
2018-1-23 84.583 3.794 1.259 2.018 8.346 
2018-1-24 73.690 5.612 2.503 3.657 14.539 
2018-1-25 84.751 0.728 1.527 2.483 10.511 
2018-1-26 90.190 0.600 0.423 1.815 6.972 
2018-1-27 90.771 0.615 0.851 1.314 6.449 
2018-1-28 89.157 0.694 0.465 2.098 7.587 
2018-1-29 79.018 1.064 2.015 3.528 14.375 
2018-1-30 85.400 0.756 1.408 2.408 10.028 
2018-1-31 85.363 0.718 1.346 2.465 10.107 
2018-2-1 84.089 0.960 1.607 2.533 10.812 
2018-2-2 82.568 0.809 1.789 2.884 11.951 
2018-2-3 90.438 0.712 1.064 1.556 6.230 
2018-2-4 91.226 0.589 0.461 1.335 6.389 
2018-2-5 79.659 1.207 2.145 3.543 13.446 
2018-2-6 77.949 1.333 2.218 3.780 14.721 
2018-2-7 77.680 1.167 2.263 3.839 15.051 
2018-2-8 77.839 1.148 2.463 3.680 14.869 
2018-2-9 82.642 0.926 1.733 3.134 11.564 
2018-2-10 88.326 0.712 1.263 1.780 7.919 
2018-2-11 86.683 1.039 0.474 2.563 9.241 
2018-2-12 76.643 1.246 2.245 4.479 15.387 
2018-2-13 78.783 1.174 2.250 3.913 13.880 
2018-2-14 76.796 1.115 2.312 3.972 15.805 
2018-2-15 77.582 1.051 2.590 3.673 15.105 
2018-2-16 79.175 0.988 2.138 3.719 13.980 
2018-2-17 88.359 0.682 1.317 1.903 7.738 
2018-2-18 85.060 1.026 0.723 2.486 10.705 
2018-2-19 74.327 1.460 2.921 4.202 17.089 
2018-2-20 70.379 1.588 4.229 4.646 19.158 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
