-60 0 300 360 others
2017-11-21 63.384 1.768 8.081 6.566 20.202 
2017-11-22 84.909 1.529 2.148 1.905 9.508 
2017-11-23 86.685 1.491 1.519 1.528 8.777 
2017-11-24 89.060 1.286 1.375 0.911 7.369 
2017-11-25 90.704 1.028 1.746 1.049 5.474 
2017-11-26 92.547 0.889 1.166 0.665 4.732 
2017-11-27 85.974 1.930 2.117 1.477 8.501 
2017-11-28 83.552 1.856 2.506 1.656 10.430 
2017-11-29 79.889 1.944 3.230 1.889 13.048 
2017-11-30 86.000 1.331 2.216 1.545 8.907 
2017-12-1 87.762 1.264 1.966 1.317 7.692 
2017-12-2 89.232 1.084 1.622 1.109 6.953 
2017-12-3 90.346 0.835 1.266 0.919 6.634 
2017-12-4 85.417 1.534 1.978 1.600 9.471 
2017-12-5 87.265 1.858 1.740 1.337 7.800 
2017-12-6 84.731 3.702 1.851 1.600 8.116 
2017-12-7 84.668 2.034 2.002 1.424 9.873 
2017-12-8 89.958 1.325 1.260 0.939 6.517 
2017-12-9 91.975 0.868 1.160 0.653 5.344 
2017-12-10 91.125 1.909 0.900 0.609 5.457 
2017-12-11 88.751 1.461 1.610 0.956 7.222 
2017-12-12 86.227 1.457 1.891 1.148 9.277 
2017-12-13 87.986 1.406 1.519 1.023 8.065 
2017-12-14 85.995 1.249 1.428 1.204 10.124 
2017-12-15 87.436 0.979 2.072 1.789 7.723 
2017-12-16 93.699 1.244 0.775 0.520 3.762 
2017-12-17 92.078 0.817 1.206 0.779 5.120 
2017-12-18 89.842 1.223 1.402 0.998 6.535 
2017-12-19 90.471 1.145 1.355 0.762 6.267 
2017-12-20 91.416 1.589 1.116 0.632 5.247 
2017-12-21 91.356 1.083 1.228 0.713 5.619 
2017-12-22 93.126 0.784 1.106 0.423 4.562 
2017-12-23 91.976 0.863 1.182 0.692 5.287 
2017-12-24 83.383 1.078 1.692 1.033 12.814 
2017-12-25 87.144 0.989 1.056 0.533 10.278 
2017-12-26 89.778 0.740 0.865 0.596 8.021 
2017-12-27 87.390 0.855 1.181 0.816 9.758 
2017-12-28 89.122 0.911 0.898 0.545 8.524 
2017-12-29 88.129 0.908 1.057 0.695 9.211 
2017-12-30 85.239 0.989 1.056 0.762 11.954 
2017-12-31 83.518 0.998 1.206 0.626 13.652 
2018-1-1 75.261 1.394 2.439 0.000 20.906 
2018-1-2 0.000 0.000 0.000 0.000 100.000 
2018-1-3 0.000 0.000 0.000 0.000 100.000 
2018-1-4 0.000 0.000 0.000 0.000 100.000 
2018-1-5 0.000 0.000 0.000 0.000 100.000 
2018-1-6 77.606 1.427 1.980 1.065 17.921 
2018-1-7 80.089 1.332 1.865 1.018 15.694 
2018-1-8 70.923 2.425 3.524 2.325 20.804 
2018-1-9 84.102 1.549 1.697 1.195 11.456 
2018-1-10 82.866 1.514 1.947 1.322 12.351 
2018-1-11 87.954 1.174 1.604 0.875 8.393 
2018-1-12 87.093 1.182 1.377 1.073 9.276 
2018-1-13 91.499 0.803 0.874 0.583 6.241 
2018-1-14 90.609 1.037 1.132 0.699 6.524 
2018-1-15 85.523 1.224 1.973 1.575 9.705 
2018-1-16 86.446 1.270 1.566 0.965 9.752 
2018-1-17 85.527 1.328 1.675 1.088 10.382 
2018-1-18 85.737 1.286 1.791 1.161 10.026 
2018-1-19 87.284 1.212 1.498 0.930 9.076 
2018-1-20 89.865 0.795 0.878 0.661 7.802 
2018-1-21 90.632 0.754 0.958 0.643 7.012 
2018-1-22 84.213 1.381 1.894 1.346 11.166 
2018-1-23 84.609 1.497 2.019 1.399 10.476 
2018-1-24 73.697 2.386 3.657 2.112 18.148 
2018-1-25 84.769 1.998 2.484 1.920 8.829 
2018-1-26 90.208 1.346 1.815 1.160 5.471 
2018-1-27 90.792 0.919 1.314 1.010 5.964 
2018-1-28 89.179 1.337 2.098 1.151 6.235 
2018-1-29 79.018 2.349 3.528 2.252 12.853 
2018-1-30 85.410 2.054 2.408 1.602 8.527 
2018-1-31 85.383 1.879 2.466 1.448 8.823 
2018-2-1 84.095 1.961 2.533 1.729 9.682 
2018-2-2 82.575 1.912 2.884 2.050 10.579 
2018-2-3 90.451 0.910 1.556 0.903 6.180 
2018-2-4 91.232 1.043 1.335 0.908 5.481 
2018-2-5 79.667 2.308 3.544 1.791 12.690 
2018-2-6 77.957 2.636 3.780 2.467 13.160 
2018-2-7 77.696 2.366 3.840 2.960 13.139 
2018-2-8 77.847 2.375 3.681 2.948 13.149 
2018-2-9 82.642 1.939 3.134 1.971 10.313 
2018-2-10 88.333 1.229 1.781 1.272 7.385 
2018-2-11 86.700 1.302 2.563 1.534 7.901 
2018-2-12 76.634 2.409 4.478 3.397 13.082 
2018-2-13 78.783 2.426 3.913 2.798 12.081 
2018-2-14 76.805 2.763 3.972 2.870 13.589 
2018-2-15 77.582 2.470 3.673 2.861 13.414 
2018-2-16 79.175 2.162 3.719 2.929 12.016 
2018-2-17 88.359 1.211 1.903 1.240 7.286 
2018-2-18 85.060 1.578 2.486 1.631 9.245 
2018-2-19 74.337 2.947 4.202 2.934 15.580 
2018-2-20 70.365 3.116 4.645 2.838 19.035 
2018-2-21 0.000 0.000 0.000 0.000 100.000 
2018-2-22 0.000 0.000 0.000 0.000 100.000 
